Id,Designator,Package,Quantity,Designation,partsbox,
1,U1201,D-Sub_HD_26_F,1,Heat probe encoder,,
2,U901,TQFP-144_20x20mm_Pitch0.5mm,1,STM32F429ZITx,x,
3,"U1101,U1001",SOIC-8_3.9x4.9mm_Pitch1.27mm,2,SST26VF064B,x,
4,X901,XO53,1,XO53,x,
5,C101,C_0603,1,1µ,x,
6,"C102,C104,C105,C323,C324,C325,C423,C424,C425,C523,C524,C525,C623,C624,C625,C723,C724,C725,C823,C824,C825,C901,C902,C907,C908,C909,C910,C911,C912,C913,C914,C1001,C1101,C915,C916,C1207,C1208",C_0603,37,100n,x,
7,"C103,C106,C327,C427,C527,C627,C727,C827,C905",C_0805,9,10µ,x,
8,"C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C401,C402,C403,C404,C405,C406,C407,C408,C409,C410,C411,C412,C413,C414,C415,C416,C417,C418,C419,C420,C501,C502,C503,C504,C505,C506,C507,C508,C509,C510,C511,C512,C513,C514,C515,C516,C517,C518,C519,C520,C601,C602,C603,C604,C605,C606,C607,C608,C609,C610,C611,C612,C613,C614,C615,C616,C617,C618,C619,C620,C701,C702,C703,C704,C705,C706,C707,C708,C709,C710,C712,C714,C716,C717,C718,C719,C720,C801,C802,C803,C804,C805,C806,C807,C808,C809,C810,C811,C812,C813,C814,C815,C816,C817,C818,C819,C820",C_0603,117,10n,x,
9,"C321,C421,C521,C621,C721,C821",C_0805,6,10µ X7R,so,
10,"C322,C422,C522,C622,C722,C822",C_0805,6,10µ X5R,so,
11,"C326,C426,C526,C626,C726,C826",C_0805,6,1µ,so,
12,"C903,C904",C_0805,2,2µ2,x,
13,C906,C_0805,1,4µ7,x,
14,"C1201,C1202,C1203,C1204,C1205,C1206",C_0603,6,2n7,x,
15,"D301,D401,D501,D601,D701,D801",LED_0603,6,BUSY,x,blue
16,J101,Pin_Header_Straight_2x20_Pitch2.54mm,1,Powerboard <-> Mainboard,,
17,P901,Pin_Header_Straight_1x03_Pitch2.54mm,1,DEBUG,,
18,P902,Pin_Header_Straight_1x03_Pitch2.54mm,1,SWD,,
19,"R101,R102,R103,R104",R_0603,4,4k7,x,
