ID,Bezeichner,Gehäuse,Stückzahl,Bezeichnung,Anbieter und Ref.,partsbox,
1,"J113,J112,J113,J114,J115,J117",MountingHole_3.2mm_M3_Pad,6,M3,,n,
2,C503,C_0805,1,10µ 0805 35V,,1,0
3,"FL101,FL102",WE-SL5,2,744272471,,2,0
4,"C104,C505",C_0805,2,10µ,,2,0
5,"C105,C304,C305,C308,C309,C310,C312,C315,C504,C701,C801,C802,C803,C901,C902,C1002,C109,C506,C1201,C1202,C302,C306",C_0603,22,100n,,22,0
6,C106,C_0805,1,470n,,1,0
7,C201,C_1206,1,10µ/40V,,1,0
8,C202,C_0805,1,1µ/40V,,1,0
9,"C203,C204",C_0603,2,22n,,2,0
10,"C205,C110,C111,C112,C113,C114,C115,C116,C117,C910,C911,C912,C913,C914,C915,C916,C917",C_0603,17,10n,,17,0
11,C303,C_0603,1,10µ,,1,0
12,"C307,C314,C702,C1001,C207",C_0603,5,1µ,,5,0
13,C313,C_0603,1,4µ7 0805,,1,0
14,"C316,C317,C318",C_0603,3,100p,,3,0
15,C501,C_0603,1,68n,,1,0
16,C502,C_0603,1,47n,,1,0
17,"C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1108,C1109,C1110,C1111,C1112,C1113,C1114,C1115,C1116,C508",C_0603,17,220n,,17,0
18,"D301,D302",LED_0603,2,LED,,2,0
19,"D701,D702",SOT-23,2,ESD,,2,0
20,J102,Pin_Header_Straight_2x20_Pitch2.54mm,1,Powerboard <-> Mainboard,,0,1
21,J105,MountingHole_3.2mm_M3_Pad_Via,1,BOOST,,0,1
22,J106,Pin_Header_Straight_1x01_Pitch2.54mm,1,Boost24V_EN,,0,1
23,J107,MountingHole_3.2mm_M3_Pad_Via,1,24V_1,,0,1
24,J108,MountingHole_3.2mm_M3_Pad_Via,1,24V_2,,0,1
25,J109,MountingHole_3.2mm_M3_Pad_Via,1,24V_3,,0,1
26,J110,MountingHole_3.2mm_M3_Pad_Via,1,BAT,,0,1
27,J111,MountingHole_3.2mm_M3_Pad_Via,1,GND,,0,1
28,"L301,L302,L303",L_1812,3,742792515,,3,0
29,Q101,TO-263-3Lead,1,SQM40031EL,,1,0
30,Q102,SOT-23,1,DMN6140L,,1,0
31,Q104,SOT-23,1,PMV55ENEA,,1,0
32,Q503,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,IRF7343PBF,,1,0
33,"Q801,Q802,Q803",SOT-669_LFPAK,3,BUK7Y4R8-60E,,3,0
34,"R101,R103,R801,R802,R803,R125,R126,R807,R808,R809,R508,R123,R124,R128",R_0603,14,10k,,14,0
35,R102,R_0603,1,20k,,1,0
36,R104,R_0603,1,91k,,1,0
37,R105,R_0603,1,13k,,1,0
38,"R106,R108,R113",R_0603,3,15k,,3,0
39,"R107,R109,R110,R111,R114,R607,R608,R130",R_0603,8,1k,,8,0
40,"R112,R1002,R129",R_0603,3,100k,,3,0
41,R201,R_0603,1,68k1,,1,0
42,R202,R_0603,1,11k8,,1,0
43,R203,R_0603,1,43k2,,1,0
44,R204,R_0603,1,5k62,,1,0
45,R205,R_0603,1,1k07,,1,0
46,"R301,R302",R_0603,2,470,,2,0
47,R303,R_0603,1,200k,,1,0
48,R504,R_0603,1,65k7,,1,0
49,R505,R_0603,1,8k2,,1,0
50,R506,R_0603,1,50k,,1,0
51,R1001,R_0603,1,140k,,1,0
52,R1003,R_0603,1,4k7,,1,0
53,R1004,R_0603,1,2R,,1,0
54,"R1101,R1102,R1103,R1104,R1105,R1106,R1107,R1108,R1109,R1110,R1111,R1112,R1113,R1114,R1115,R1116",R_0603,16,47k,,16,0
55,U102,SOIC-16_3.9x9.9mm_Pitch1.27mm,1,DS26LV32AT,,1,0
56,U201,7TO-PMOD,1,LMZ14203,,1,0
57,U302,HSSOP-36,1,DRV8332,,1,0
58,"U303,U801,U802,U803",SOIC-8_3.9x4.9mm_Pitch1.27mm,4,ACS711,,4,0
59,U501,TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,1,LTC4010,,1,0
60,"U601,U602,U603",SOP-4,3,PC3H7,,3,0
61,U701,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,MAX13432EESD,,1,0
62,U901,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,AD7928,,1,0
63,U902,SOT-23,1,REF3025,,1,0
64,U1001,MSOP-10-1EP_3x3mm_Pitch0.5mm,1,LT3592,,1,0
65,"U1101,U1102",TSSOP-14_4.4x5mm_Pitch0.65mm,2,LMV324,,2,0
66,C103,C_0805,1,1µ,,1,0
67,L101,L_Coilcraft_1583_Handsoldering,1,Coilcraft MSS1583-474,,1,0
68,L501,L_Coilcraft_XAL60xx_Handsoldering,1,Coilcraft XAL6060-223,,1,0
69,L1001,L_Coilcraft_XAL40xx_Handsoldering,1,Coilcraft XAL4040-103,,1,0
70,U101,SOT-223,1,LM1117-3.3,,1,0
71,"R115,R116,R117,R118,R120",R_0603,5,NC,,0,5
72,"FL701,FL702",WE-SL2,2,CMC,,2,0
73,"C319,C804,C805,C806",C_0603,4,1n,,4,0
74,R122,R_0603,1,0,,1,0
75,J101,DB15MD,1,RXSM experiment connector,,,1
76,J103,DB9FD,1,Cameraboard,,,1
77,J104,DB15FD,1,BLDC Motor,,,1
78,J810,MountingHole_3.2mm_M3_Pad_Via,1,HP1,,,1
79,J811,MountingHole_3.2mm_M3_Pad_Via,1,HP2,,,1
80,J812,MountingHole_3.2mm_M3_Pad_Via,1,HP3,,,1
81,D101,LED_0603,1,RX-PW,,1,0
82,D102,LED_0603,1,RX-CHG,,1,0
83,D103,LED_0603,1,BAT,,1,0
84,D801,LED_0603,1,HP1,,1,0
85,D802,LED_0603,1,HP2,,1,0
86,D803,LED_0603,1,HP3,,1,0
87,R127,R_0603,1,4k,,1,0
88,TP101,Measurement_Point_Round-SMD-Pad_Small,1,28V,,,1
89,TP102,Measurement_Point_Round-SMD-Pad_Small,1,CHG,,,1
90,TP103,Measurement_Point_Round-SMD-Pad_Small,1,+5V,,,1
91,TP104,Measurement_Point_Round-SMD-Pad_Small,1,+3V3,,,1
92,"TP105,TP106",Measurement_Point_Round-SMD-Pad_Small,2,GND,,,2
93,TP107,Measurement_Point_Round-SMD-Pad_Small,1,HP3C,,,1
94,TP108,Measurement_Point_Round-TH_Small,1,GND,,,1
95,TP109,Measurement_Point_Round-SMD-Pad_Small,1,HP2C,,,1
96,TP110,Measurement_Point_Round-SMD-Pad_Small,1,HP1C,,,1
97,TP111,Measurement_Point_Round-SMD-Pad_Small,1,V_MOTOR,,,1
98,TP112,Measurement_Point_Round-SMD-Pad_Small,1,MOTORC,,,1
99,C101,C_1206,1,10µ,,1,0
100,C108,C_1206,1,22µ Tantal,,1,0
101,C206,C_1812,1,100µ/10V,,1,0
102,C301,C_0805,1,4µ7 0805,,1,0
103,C507,C_0603,1,470n,,1,0
104,C1003,C_0805,1,4µ7 0805 50V,,1,0
105,D104,D_SMB_Standard,1,SMAJ36A,,1,0
106,"D304,D305,D306",D_SMB_Standard,3,SMBJ40CA,,3,0
107,D501,D_SMB_Standard,1,MBRS360BT3G,,1,0
108,R507,R_1812,1,100m,,1,0
109,"R601,R602,R603,R604,R605,R606",R_1206,6,10k 1206,,6,0
110,U301,TO-220_Vertical,1,7812SR-C,,1,0
111,U1201,TSSOP-16_4.4x5mm_Pitch0.65mm,1,CD40109B,,1,0
112,C102,C_1206,1,4µ7 1206 50V,,1,0
113,C118,C_1210,1,10µ 1210,,1,0
114,C119,C_0805,1,1µ 0805 50V,,1,0
115,C120,CP_Elec_8x10.5,1,50SVPK68M,,1,0
116,D1001,D_SMA_Standard,1,MBRA140T3,,1,0
117,"C107,C121",C_0603,2,2n7,,2,0
118,"R119,R121",R_0603,2,100,,2,0
119,"D1002,D1003",D_SOD-123F,2,US1NWF,,2,0
120,Q103,SOT-23,1,PMV27UPE,,1,0
